Symbol,Current sheet sector,PROPOSED NSE macro sector,Source,Options
BAJAJ-AUTO,Automobiles,Automobile and Auto Components,NSE official,N50
BHARATFORG,Auto Ancillaries,Automobile and Auto Components,NSE official,YES
BOSCHLTD,Auto Ancillaries,Automobile and Auto Components,NSE official,YES
EICHERMOT,Automobiles,Automobile and Auto Components,NSE official,N50
EXIDEIND,Batteries,Automobile and Auto Components,NSE official,YES
FORCEMOT,Automobiles,Automobile and Auto Components,mapped (not in current Nifty200),YES
HEROMOTOCO,Two Wheelers,Automobile and Auto Components,NSE official,YES
HYUNDAI,Automobiles,Automobile and Auto Components,NSE official,YES
M&M,Automobiles,Automobile and Auto Components,NSE official,N50
MARUTI,Automobiles,Automobile and Auto Components,NSE official,N50
MOTHERSON,Auto Ancillaries,Automobile and Auto Components,NSE official,YES
SONACOMS,Auto Ancillaries,Automobile and Auto Components,mapped (not in current Nifty200),YES
TIINDIA,Bearings & Industrial Products,Automobile and Auto Components,NSE official,YES
TMPV,Automobiles,Automobile and Auto Components,NSE official,N50
TVSMOTOR,Two Wheelers,Automobile and Auto Components,NSE official,YES
UNOMINDA,Auto Ancillaries,Automobile and Auto Components,mapped (not in current Nifty200),YES
ABB,Capital Goods,Capital Goods,NSE official,YES
APLAPOLLO,Steel Products,Capital Goods,NSE official,YES
ASHOKLEY,Commercial Vehicles,Capital Goods,NSE official,YES
ASTRAL,Building Products,Capital Goods,NSE official,YES
BDL,Defence,Capital Goods,NSE official,YES
BEL,Defence Electronics,Capital Goods,NSE official,N50
BHEL,Capital Goods,Capital Goods,NSE official,YES
CGPOWER,Electrical Equipment,Capital Goods,NSE official,YES
COCHINSHIP,Shipbuilding,Capital Goods,NSE official,YES
CUMMINSIND,Engines & Power Systems,Capital Goods,NSE official,YES
HAL,Defence Aerospace,Capital Goods,NSE official,YES
INOXWIND,Renewable Energy Equipment,Capital Goods,mapped (not in current Nifty200),YES
KAYNES,Electronics Manufacturing,Capital Goods,mapped (not in current Nifty200),YES
KEI,Cables & Wires,Capital Goods,NSE official,YES
MAZDOCK,Defence Shipbuilding,Capital Goods,NSE official,YES
POLYCAB,Cables & Wires,Capital Goods,NSE official,YES
POWERINDIA,Power Equipment,Capital Goods,NSE official,YES
PREMIERENE,Renewable Energy Equipment,Capital Goods,NSE official,YES
SIEMENS,Industrial Engineering,Capital Goods,NSE official,YES
SUPREMEIND,Plastics Products,Capital Goods,NSE official,YES
SUZLON,Renewable Energy,Capital Goods,NSE official,YES
WAAREEENER,Solar Equipment,Capital Goods,NSE official,YES
PIDILITIND,Specialty Chemicals,Chemicals,NSE official,YES
PIIND,Agro Chemicals,Chemicals,NSE official,YES
SOLARINDS,Explosives & Defence,Chemicals,NSE official,YES
SRF,Chemicals,Chemicals,NSE official,YES
UPL,Agro Chemicals,Chemicals,NSE official,YES
LT,Engineering & Construction,Construction,NSE official,N50
NBCC,Construction,Construction,mapped (not in current Nifty200),YES
RVNL,Railway Infrastructure,Construction,NSE official,YES
AMBUJACEM,Cement,Construction Materials,NSE official,YES
DALBHARAT,Cement,Construction Materials,mapped (not in current Nifty200),YES
GRASIM,Diversified,Construction Materials,NSE official,N50
SHREECEM,Cement,Construction Materials,NSE official,YES
ULTRACEMCO,Cement,Construction Materials,NSE official,N50
